,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,elev_high,elev_low
10,2,Evening Run,5140.8,1783,1783,0.0,Run,Run,,8496002961,2023-02-03T00:28:12Z,2023-02-02T19:28:12Z,(GMT-05:00) Jamaica,-18000.0,,,Canada,0,5,0,1,0,True,False,False,False,everyone,False,g10387261,[],[],2.883,3.058,80.8,True,175.2,185.0,False,True,9117920399.0,9117920399,garmin_ping_258282812834,False,0,0,False,105.0,57262801,1,a8496002961,,2,,
11,2,Lunch Run,6100.0,2129,2162,0.0,Run,Run,,8483023229,2023-01-31T17:03:21Z,2023-01-31T12:03:21Z,(GMT-06:00) Pacific/Easter,-18000.0,,,Canada,0,6,0,1,0,True,False,False,False,everyone,False,g10387261,[],[],2.865,3.018,81.1,True,162.2,182.0,False,True,9102491414.0,9102491414,garmin_ping_257931152450,False,0,0,False,78.0,57262801,1,a8483023229,,2,,
12,2,Evening Run,2087.9,753,753,0.0,Run,Run,,8474252665,2023-01-29T23:09:14Z,2023-01-29T18:09:14Z,(GMT-05:00) EST,-18000.0,,,Canada,0,6,2,1,0,True,False,False,False,everyone,False,g10387261,[],[],2.773,2.988,80.8,True,157.1,168.0,False,True,9092775498.0,9092775498,garmin_ping_257662961670,False,0,0,False,22.0,57262801,1,a8474252665,,2,,
13,2,Afternoon Run,8002.3,2760,2760,0.0,Run,Run,,8467968905,2023-01-28T21:21:30Z,2023-01-28T16:21:30Z,(GMT-06:00) Chile/EasterIsland,-18000.0,,,Canada,0,6,0,1,0,True,False,False,False,everyone,False,g10387261,[],[],2.899,3.114,81.1,True,172.7,186.0,False,True,9085689733.0,9085689733,garmin_ping_257502212384,False,0,0,False,153.0,57262801,1,a8467968905,,2,,
14,2,Afternoon Run,5100.0,1639,1639,0.0,Run,Run,,8457546388,2023-01-26T22:40:57Z,2023-01-26T17:40:57Z,(GMT-05:00) America/Toronto,-18000.0,,,Canada,0,4,0,1,0,False,False,True,False,everyone,False,g10387261,[],[],3.112,0.0,,False,,,False,False,,,,False,0,0,False,,57262801,1,a8457546388,,2,,
15,2,Morning Run,6004.5,2160,2189,0.0,Run,Run,,8438366257,2023-01-23T12:10:13Z,2023-01-23T07:10:13Z,(GMT-05:00) Cuba,-18000.0,,,Canada,0,3,0,1,0,True,False,False,False,everyone,False,g10387261,[],[],2.78,3.006,80.7,True,165.9,179.0,False,True,9053017338.0,9053017338,garmin_ping_256692087704,False,0,0,False,93.0,57262801,1,a8438366257,,2,,
16,2,Afternoon Run,10007.5,3433,3433,0.0,Run,Run,,8435848666,2023-01-22T19:31:35Z,2023-01-22T14:31:35Z,(GMT-05:00) EST5EDT,-18000.0,,,Canada,0,7,0,1,0,True,False,False,False,everyone,False,g10387261,[],[],2.915,3.268,80.0,True,173.5,185.0,False,True,9050182431.0,9050182431,garmin_ping_256597071193,False,0,0,False,194.0,57262801,1,a8435848666,,2,,
17,2,Ski with Jamesy,19499.5,6248,13230,1661.9,AlpineSki,AlpineSki,,8430456537,2023-01-21T19:26:49Z,2023-01-21T14:26:49Z,(GMT-05:00) America/Toronto,-18000.0,,,Canada,6,10,1,1,0,False,False,False,False,followers_only,False,,"[45.30136956833303, -72.62806101702154]","[45.30120343901217, -72.63692194595933]",3.121,9.212,,False,,,False,False,9044130958.0,9044130958,AD8A43A9-893A-480F-B976-1A1C7BDB2975-activity.fit,False,3,1,False,,57262801,1,a8430456537,mbosGhlhzLWZE^a@NBz@YHA`@g@^WrCFn@E`@PT^HF`@bBt@RdAl@NAb@fAlAHv@UlFVbDIlAHjAfAj@t@`Al@OjFn@t~@pDb@`@GdARj@T?DZl@LX`@bAa@ZoCc@wBTc@VCb@q@fAFvA|Ah@@|AvBVW^PvBmCLaBEgEYaC_A_C[aBuCmDMcAe@iAYoACiEKUImCi@iBCgAs@aCc@_ANmCCuAQu@eB{Bo@sBSqDHcAQuAHc@Y{@?q@Qs@Da@j@I\N@\On@KvQuAzcAVfBClARh@tAz@pAKBu@V{@c@uC^]Pq@l@Ux@T^n@dAj@^@dAvA`@Hz@WnA_BVwBAmCSmBi@wA_@uC{@_BiA_AWe@Gk@_AsB[iDAk@Fo@YmBBi@U_@He@Q[F[MQ@k@QIDe@YMWqAUSDk@Ya@TgDMSL]Si@@i@JOTTP_As@}CB_@]cAW]SgAC_BQk@`AqEn@Am@J~JjStWvi@a@pAg@c@o@qBi@CKl@s@V_AEk@o@oAuDKmBY_AIaA?kBLmCU}@e@MKRUK_@b@]AKa@O?i@wCW_AqBsCu@a@_A?C_@Yc@i@e@[y@?w@{@}Ae@eBD_CMwAOo@g@g@SyA?o@_@Oa@HQd@cBlwAHlHDbANhAKbANl@Ih@Ul@g@S}@Ik@i@{@Ea@TIj@b@Xd@~@Hb@Ql@y@BwFvBiDEiDh@YR}@]qA?sBVQ`@iAPMXkAn@uAIk@Rs@W]Pi@QsC`@{AfAi@QYV{AMiAgAa@qAm@eGKO@eAGw@[cB`AgG]cD}@k@I[_@SwASeAgAq@gB_@OYPc@tAk@h@e@tBJ??Rf@q@jAoXpAe\BmAIa@k@f@Xh@^DA~BdArCb@jGKlCUvA@h@}@nGiAxD[jCNjBt@j@b@A\tA`AWzB^jRbAti@zBjBDLC@k@?VXQ\pDFjCKnAPb@GJFdAY`A_AMMWaAs@g@Oo@^Kx@z@fATBHj@Uj@_BP}AXyCxAsBQm@^cD`@SS[NW]KRYS[NSWMXWUW\UE_@HK\]?Q^WIMXSEW\SKWXs@Mm@BaAPKUe@AoDt@yAx@_@Mc@ViACQUkAo@g@qA]eFKOAuAQ_CQSB_Bj@eCNsBIsAk@c@c@k@iBg@,2,545.0,183.7
18,2,Morning Run,5018.8,1743,1743,0.0,Run,Run,,8422864011,2023-01-20T15:05:21Z,2023-01-20T10:05:21Z,(GMT-05:00) Canada/Eastern,-18000.0,,,Canada,0,4,0,1,0,True,False,False,False,followers_only,False,g10387261,[],[],2.879,3.11,80.9,True,164.7,179.0,False,True,9035697096.0,9035697096,garmin_ping_256263899328,False,0,0,False,71.0,57262801,1,a8422864011,,2,,
19,2,Afternoon Run,7010.1,2472,2606,25.0,Run,Run,,8419506928,2023-01-19T20:41:14Z,2023-01-19T15:41:14Z,(GMT-05:00) America/Toronto,-18000.0,,,Canada,2,6,0,1,0,False,False,False,False,followers_only,False,g10387261,"[45.51583078689873, -73.56973456218839]","[45.516679622232914, -73.56952643953264]",2.836,4.33,80.6,True,152.4,161.0,False,True,9031966364.0,9031966364,garmin_ping_256157828537,False,0,0,False,60.0,57262801,1,a8419506928,siytGxb``MW[[g@]WA?a@^m@`AWh@Kh@`@mBd@{A?_@IUKBOK[Ky@u@ID]n@GFCAD_@AYDM@U[a@Oc@OQ[YkAq@g@c@YOGIOA_@[W_@g@i@OIEGE@KNIPANGLHYDc@HKe@WSSW_@mAaAG?OJI?k@_@G@GJ?dACj@Qx@]v@Yf@w@z@KZSbBIzBMZSN_@MsBiBMKSE_@CMBWLMVYnAWz@CRO`@Id@WbAUrA]dB_@`CAj@Ej@GjBJXT^?b@ADEBe@e@_@UMEKIoAqA]Y[SOOQKcAmA]We@i@e@s@cAu@q@s@}@o@MQO?OK_@_@U_@}@{@GKDSLWd@yAXs@Z}@HQn@}BT_@Vy@r@sANg@AMPu@b@eAn@}BHUr@{BPu@BGHEXL`@H`@?VB`@Jb@D\JN?f@Rp@J|@TJ?ZLfDj@l@TAX`@AnATrANHBDPHDv@Rf@XJ\@z@C\Ip@KZQ`AKZQZs@j@QTWr@Eh@G`BMbAUZO@ICg@[w@_AUSYIe@CQD_@Ta@v@k@dBOz@Of@KlAi@pBQzAS`AGfB@d@E~@H`@Vp@A\ILYc@q@k@_@c@uAmAk@[a@YWa@s@{@c@W}@cAa@_@q@i@i@m@u@m@YGe@[o@_Aa@_@IO?G`@_APg@Jc@d@}AVo@d@aBXc@La@^u@Zc@LWHc@Gc@BQZo@z@yBf@gAb@iAPw@La@HGdABz@JhCp@~A^j@PbALn@PzAZh@B^N|@NXNlB`@r@JZHn@^vAtAx@`AF?RWFNbA~@`Ar@x@v@v@j@|@bAjAz@TXLTVL@DRVXT^Xb@b@,2,46.4,37.4
